,Code,Name,Country,Exchange,Currency,Type,Isin
143,AAIEX,AMERICAN BEACON INTERNATIONAL EQUITY FUND INSTITUTIONAL CLASS,USA,NMFQS,USD,FUND,US02368A4067
144,AAIGF,AIA Group Limited,USA,PINK,USD,Common Stock,HK0000069689
145,AAIIQ,Alabama Aircraft Industries Inc,USA,PINK,USD,Common Stock,US7064441063
146,AAIIX,ANCORA INCOME FUND CLASS I,USA,NMFQS,USD,FUND,
147,AAIN,AAIN,USA,NYSE,USD,Common Stock,
148,AAINX,THRIVENT OPPORTUNITY INCOME PLUS FUND CLASS A,USA,NMFQS,USD,FUND,US8858827046
149,AAIPX,AMERICAN BEACON INTERNATIONAL EQUITY FUND INVESTOR CLASS,USA,NMFQS,USD,FUND,US02368A7946
150,AAIRF,American Aires Inc,USA,OTCQB,USD,Common Stock,
151,AAISX,AMERICAN BEACON INTERNATIONAL EQUITY FUND ADVISOR CLASS,USA,NMFQS,USD,FUND,
152,AAL,American Airlines Group Inc,USA,NASDAQ,USD,Common Stock,US02376R1023
153,AALBF,Aalberts N.V,USA,PINK,USD,Common Stock,
154,AALGX,THRIVENT LARGE CAP STOCK FUND CLASS A,USA,NMFQS,USD,FUND,US8858828606
155,AALIX,ASTON/HERNDON LARGE CAP VALUE FUND CLASS N SHARES,USA,NMFQS,USD,FUND,
156,AALRX,American Beacon Large Cap Value Fund R6,USA,NMFQS,USD,FUND,
157,AALTX,AMERICAN FUNDS 2050 TARGET DATE RETIREMENT FUND CLASS A,USA,NMFQS,USD,FUND,US02630T4498
158,AALXX,Thrivent Money Market Fund Class S,USA,NMFQS,USD,FUND,
159,AAMAF,Atlas Mara Limited,USA,PINK,USD,Common Stock,
160,AAMAX,ABSOLUTE CAPITAL ASSET ALLOCATOR FUND ABSOLUTE CAPITAL ASSET ALLOCATOR FUND CLASS A SHARES,USA,NMFQS,USD,FUND,
161,AAMBAX,AAMBAX,USA,NMFQS,USD,FUND,
162,AAMBBX,AAMBBX,USA,NMFQS,USD,FUND,
163,AAMBCX,AAMBCX,USA,NMFQS,USD,FUND,
164,AAMBDX,AAMBDX,USA,NMFQS,USD,FUND,
165,AAMBEX,AAMBEX,USA,NMFQS,USD,FUND,
166,AAMBFX,AAMBFX,USA,NMFQS,USD,FUND,
167,AAMBGX,AAMBGX,USA,NMFQS,USD,FUND,
168,AAMBHX,AAMBHX,USA,NMFQS,USD,FUND,
169,AAMBIX,AAMBIX,USA,NMFQS,USD,FUND,
170,AAMBX,THRIVENT MUNICIPAL BOND FUND CLASS A,USA,NMFQS,USD,FUND,US8858826212
171,AAMC,Altisource Asset Management Corporation,USA,NYSE MKT,USD,Common Stock,VI02153X1080
172,AAMCX,ABSOLUTE CAPITAL ASSET ALLOCATOR FUND ABSOLUTE CAPITAL ASSET ALLOCATOR FUND INVESTOR CLASS SHARES,USA,NMFQS,USD,FUND,
173,AAME,Atlantic American Corporation,USA,NASDAQ,USD,Common Stock,US0482091008
174,AAMEHX,AAMEHX,USA,NMFQS,USD,FUND,
175,AAMEIX,AAMEIX,USA,NMFQS,USD,FUND,
176,AAMEJX,AAMEJX,USA,NMFQS,USD,FUND,
177,AAMEKX,AAMEKX,USA,NMFQS,USD,FUND,
178,AAMELX,AAMELX,USA,NMFQS,USD,FUND,
179,AAMIX,ABSOLUTE CAPITAL ASSET ALLOCATOR FUND ABSOLUTE CAPITAL ASSET ALLOCATOR FUND INSTITUTIONAL CLASS SHARES,USA,NMFQS,USD,FUND,
180,AAMLBX,AAMLBX,USA,NMFQS,USD,FUND,
181,AAMMF,Almadex Minerals Ltd,USA,PINK,USD,Common Stock,
182,AAMOX,ALGER SMID CAP FOCUS PORTFOLIO ALGER SMID CAP FOCUS PORTFOLIO CLASS I-2,USA,NMFQS,USD,FUND,
183,AAMTF,Armada Mercantile Ltd,USA,PINK,USD,Common Stock,
184,AAMTX,AMERICAN FUNDS 2055 TARGET DATE RETIREMENT FUND CLASS A,USA,NMFQS,USD,FUND,US02630T2740
185,AAN,Aaron’s Company Inc,USA,NYSE,USD,Common Stock,US00258W1080
186,AANNF,Aroundtown SA,USA,PINK,USD,Common Stock,
187,AANTX,AMERICAN FUNDS 2060 TARGET DATE RETIREMENT FUND CLASS A,USA,NMFQS,USD,FUND,
188,AAOI,Applied Optoelectronics Inc,USA,NASDAQ,USD,Common Stock,US03823U1025
189,AAON,AAON Inc,USA,NASDAQ,USD,Common Stock,US0003602069
190,AAOPX,OPPORTUNISTIC FUND CLASS A,USA,NMFQS,USD,FUND,
191,AAOTX,AAOTX,USA,NMFQS,USD,FUND,
192,AAOXX,AAOXX,USA,NMFQS,USD,FUND,
193,AAP,Advance Auto Parts Inc,USA,NYSE,USD,Common Stock,US00751Y1064
194,AAPJ,AAP Inc,USA,PINK,USD,Common Stock,US00037T1034
195,AAPL,Apple Inc,USA,NASDAQ,USD,Common Stock,US0378331005
196,AAPT,All American Pet Company Inc,USA,PINK,USD,Common Stock,US01644F1066
197,AAQC,Accelerate Acquisition Corp,USA,NYSE,USD,Common Stock,US00439D1028
198,AAQC-WT,AAQC-WT,USA,NYSE,USD,Common Stock,
199,AASCX,THRIVENT MID CAP STOCK FUND CLASS A,USA,NMFQS,USD,FUND,US8858826881
200,AASL,America's Suppliers Inc,USA,PINK,USD,Common Stock,
201,AASMX,THRIVENT SMALL CAP STOCK FUND CLASS A,USA,NMFQS,USD,FUND,US8858825719
202,AASOX,ALGER SMALL CAP GROWTH PORTFOLIO ALGER SMALL CAP GROWTH PORTFOLIO CLASS I-2,USA,NMFQS,USD,FUND,US0155444062
203,AASP,Global Acquisitions Corporation,USA,PINK,USD,Common Stock,US01643P1057
204,AASRX,American Beacon Small Cap Value Fund R6,USA,NMFQS,USD,FUND,
205,AASSX,AMERICAN BEACON SMALL CAP VALUE FUND ADVISOR CLASS,USA,NMFQS,USD,FUND,US02368A4307
206,AASTX,LIMITED DURATION FUND CLASS A,USA,NMFQS,USD,FUND,
207,AASZF,Atlantic Sapphire ASA,USA,OTCQX,USD,Common Stock,
208,AAT,American Assets Trust Inc,USA,NYSE,USD,Common Stock,US0240131047
209,AATC,Image Sensing Systems Inc,USA,NASDAQ,USD,Common Stock,US0533061067
210,AATGF,ATI Airtest Technologies Inc,USA,PINK,USD,Common Stock,
211,AATIX,ANCORA/THELEN SMALL-MID CAP CLASS I,USA,NMFQS,USD,FUND,
212,AATRL,Amg Capital Trust II,USA,PINK,USD,Common Stock,US00170F2092
213,AATSX,ANCORA/THELEN SMALL-MID CAP CLASS S,USA,NMFQS,USD,FUND,
214,AATV,Adaptive Ad Systems Inc,USA,PINK,USD,Common Stock,US00650A1007
215,AAU,Almaden Minerals Ltd,USA,NYSE MKT,USD,Common Stock,CA0202833053
216,AAUGF,Angold Resources Ltd,USA,OTCQB,USD,Common Stock,
217,AAUKF,Anglo American plc,USA,OTCQX,USD,Common Stock,USG037641002
218,AAUSX,AAUSX,USA,NMFQS,USD,FUND,
219,AAUTX,THRIVENT LARGE CAP VALUE FUND CLASS A,USA,NMFQS,USD,FUND,US8858828374
220,AAVMY,ABN AMRO Bank N.V,USA,PINK,USD,Common Stock,
221,AAVVF,Advantage Energy Ltd,USA,PINK,USD,Common Stock,CA00791P1071
222,AAVXF,ABIVAX Société Anonyme,USA,PINK,USD,Common Stock,
223,AAWEX,WORLD ENERGY FUND CLASS A,USA,NMFQS,USD,FUND,
224,AAWH,Ascend Wellness Holdings Inc,USA,OTCQX,USD,Common Stock,US04351N1063
225,AAWVX,Mid Cap Core Equity Fund Class A Shares,USA,NMFQS,USD,FUND,
226,AAWW,Atlas Air Worldwide Holdings Inc,USA,NASDAQ,USD,Common Stock,US0491642056
227,AAXJ,iShares MSCI All Country Asia ex Japan ETF,USA,NASDAQ,USD,ETF,US4642881829
228,AAXT,Aamaxan Transport Group Inc,USA,OTCCE,USD,Common Stock,
229,AAYYY,Australian Agricultural Company Limited,USA,PINK,USD,Common Stock,
230,AAZAX,AB ARIZONA PORTFOLIO CLASS A,USA,NMFQS,USD,FUND,US01864E7976
231,AAZCX,AB ARIZONA PORTFOLIO CLASS C,USA,NMFQS,USD,FUND,
232,AAZXX,AAZXX,USA,NMFQS,USD,FUND,
233,AAZYX,"AB Municipal Income Fund II Arizona Portfolio Advisor Class
",USA,NMFQS,USD,FUND,
234,AAZZF,A2Z Smart Technologies Corp,USA,OTCQX,USD,Common Stock,CA00249W1005
235,AB,AllianceBernstein Holding L.P,USA,NYSE,USD,Common Stock,US01881G1067
236,ABAEX,AB EMERGING MARKETS MULTI-ASSET PORTFOLIO CLASS A,USA,NMFQS,USD,FUND,
237,ABAKF,Aberdeen Asia-Pacific Income Investment Company Limited,USA,OTCGREY,USD,Common Stock,
238,ABALX,American Balanced Fund Class A Sh,USA,NMFQS,USD,FUND,US0240711020
239,ABANF,Automatic Bank Services Limited,USA,PINK,USD,Common Stock,
240,ABASX,AB DISCOVERY VALUE FUND CLASS A,USA,NMFQS,USD,FUND,US0189141015
241,ABB,ABB Ltd,USA,NYSE,USD,Common Stock,US0003752047
242,ABBB,Auburn Bancorp Inc,USA,PINK,USD,Common Stock,US0502541016
243,ABBRF,AbraSilver Resource Corp,USA,OTCQX,USD,Common Stock,CA00379L1067
244,ABBV,AbbVie Inc,USA,NYSE,USD,Common Stock,US00287Y1091
245,ABBY,Abby Inc,USA,PINK,USD,Common Stock,US00287T3086
246,ABC,AmerisourceBergen Corporation,USA,NYSE,USD,Common Stock,US03073E1055
247,ABCAF,Athabasca Minerals Inc,USA,PINK,USD,Common Stock,
248,ABCAX,AMERICAN BEACON THE LONDON COMPANY INCOME EQUITY FUND A CLASS,USA,NMFQS,USD,FUND,US0245271038
249,ABCB,Ameris Bancorp,USA,NASDAQ,USD,Common Stock,US03076K1088
250,ABCCX,AMERICAN BEACON BALANCED FUND C CLASS,USA,NMFQS,USD,FUND,
251,ABCE,ABCO Energy Inc,USA,PINK,USD,Common Stock,US00287V4023
252,ABCEX,AB EMERGING MARKETS MULTI-ASSET PORTFOLIO CLASS C,USA,NMFQS,USD,FUND,
253,ABCFF,Abacus Mining & Exploration Corporation,USA,PINK,USD,Common Stock,
254,ABCIX,AMERICAN BEACON THE LONDON COMPANY INCOME EQUITY FUND INSTITUTIONAL CLASS,USA,NMFQS,USD,FUND,US0245274008
255,ABCL,AbCellera Biologics Inc,USA,NASDAQ,USD,Common Stock,CA00288U1066
256,ABCM,Abcam plc,USA,NASDAQ,USD,Common Stock,US0003802040
257,ABCP,AmBase Corporation,USA,PINK,USD,Common Stock,US0231641061
258,ABCRX,ABCRX,USA,NMFQS,USD,FUND,
259,ABCSX,AB DISCOVERY VALUE FUND CLASS C,USA,NMFQS,USD,FUND,US0189143094
260,ABCVX,AMERICAN BEACON THE LONDON COMPANY INCOME EQUITY FUND INVESTOR CLASS,USA,NMFQS,USD,FUND,
261,ABCYX,AMERICAN BEACON THE LONDON COMPANY INCOME EQUITY FUND Y CLASS,USA,NMFQS,USD,FUND,US0245273018
262,ABCZF,Abcam plc,USA,PINK,USD,Common Stock,
263,ABDAX,COLUMBIA CAPITAL ALLOCATION CONSERVATIVE PORTFOLIO COLUMBIA CAPITAL ALLOCATION CONSERVATIVE PORTFOLIO CLASS A,USA,NMFQS,USD,FUND,US19766G5466
264,ABDDF,AB Dynamics plc,USA,PINK,USD,Common Stock,
265,ABDR,Ambassador Food Services Corp,USA,PINK,USD,Common Stock,US0229091055
266,ABECX,AMERICAN BEACON THE LONDON COMPANY INCOME EQUITY FUND C CLASS,USA,NMFQS,USD,FUND,US0245272028
267,ABEIX,Aberdeen Tax-Free Income Fund Inst Class,USA,NMFQS,USD,FUND,US0030222097
268,ABEMX,Aberdeen Emerging Markts Fund Insti Clss,USA,NMFQS,USD,FUND,US0030217147
269,ABEO,Abeona Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US00289Y1073
270,ABEPF,Vision Lithium Inc,USA,OTCQB,USD,Common Stock,
271,ABEQ,Absolute Core Strategy ETF,USA,NYSE ARCA,USD,ETF,
272,ABESX,Aberdeen Tax-Free Income Fund Inst Servi,USA,NMFQS,USD,FUND,
273,ABEV,Ambev S.A,USA,NYSE,USD,Common Stock,US02319V1035
274,ABEYX,AMERICAN BEACON INTERNATIONAL EQUITY FUND Y CLASS,USA,NMFQS,USD,FUND,US02368A1907
275,ABFAX,AMERICAN BEACON BALANCED FUND A CLASS,USA,NMFQS,USD,FUND,
276,ABG,Asbury Automotive Group Inc,USA,NYSE,USD,Common Stock,US0434361046
277,ABGI,ABG Acquisition Corp. I,USA,NASDAQ,USD,Common Stock,KYG004961028
278,ABGNX,BALANCED FUND R5 CLASS,USA,NMFQS,USD,FUND,
279,ABGOF,Abengoa S.A,USA,PINK,USD,Common Stock,
280,ABGOY,Abengoa S.A,USA,PINK,USD,Common Stock,
281,ABGSF,ABG Sundal Collier Holding ASA,USA,PINK,USD,Common Stock,
282,ABHFX,AMERICAN HIGH-INCOME MUNICIPAL BOND FUND CLASS F-1,USA,NMFQS,USD,FUND,US0265454001
283,ABHIX,HIGH-YIELD FUND INVESTOR CLASS,USA,NMFQS,USD,FUND,US0249328081
284,ABHTX,GOVERNMENT BOND FUND I CLASS,USA,NMFQS,USD,FUND,
285,ABHYX,HIGH-YIELD MUNICIPAL FUND INVESTOR CLASS,USA,NMFQS,USD,FUND,US0249348048
286,ABIAX,AB INTERNATIONAL VALUE FUND CLASS A,USA,NMFQS,USD,FUND,US0189131032
287,ABICX,AB INTERNATIONAL VALUE FUND CLASS C,USA,NMFQS,USD,FUND,
288,ABIEX,AB EMERGING MARKETS MULTI-ASSET PORTFOLIO CLASS I,USA,NMFQS,USD,FUND,
289,ABILF,Ability Inc,USA,PINK,USD,Common Stock,KYG8789K1242
290,ABIMX,AB IMPACT MUNICIPAL INCOME SHARES AB IMPACT MUNICIPAL INCOME SHARES,USA,NMFQS,USD,FUND,
291,ABINX,BALANCED FUND I CLASS,USA,NMFQS,USD,FUND,
292,ABIO,ARCA biopharma Inc,USA,NASDAQ,USD,Common Stock,US00211Y5069
293,ABIT,Athena Bitcoin Global,USA,PINK,USD,Common Stock,
294,ABIYX,AB INTERNATIONAL VALUE FUND ADVISOR CLASS,USA,NMFQS,USD,FUND,
295,ABIZX,AMG MANAGERS FAIRPOINTE MID CAP FUND CLASS Z SHARES,USA,NMFQS,USD,FUND,
296,ABKB,American Basketball Association Inc,USA,PINK,USD,Common Stock,
297,ABKEX,AB EMERGING MARKETS MULTI-ASSET PORTFOLIO CLASS K,USA,NMFQS,USD,FUND,
298,ABLE,Able Energy Inc,USA,OTCCE,USD,Common Stock,US0037091024
299,ABLOX,ALGER BALANCED PORTFOLIO ALGER BALANCED PORTFOLIO CLASS I-2,USA,NMFQS,USD,FUND,
300,ABLSX,AMERICAN BEACON BALANCED FUND ADVISOR CLASS,USA,NMFQS,USD,FUND,
301,ABLT,American Biltrite Inc,USA,PINK,USD,Common Stock,US0245911096
302,ABLYX,AMERICAN BEACON LARGE CAP VALUE FUND Y CLASS,USA,NMFQS,USD,FUND,US02368A1741
303,ABLZF,ABB Ltd,USA,PINK,USD,Common Stock,CH0012221716
304,ABM,ABM Industries Incorporated,USA,NYSE,USD,Common Stock,US0009571003
305,ABMAF,Albioma,USA,PINK,USD,Common Stock,
306,ABMAX,AMERICAN BEACON MID-CAP VALUE FUND A CLASS,USA,NMFQS,USD,FUND,
307,ABMBF,Abcourt Mines Inc,USA,PINK,USD,Common Stock,
308,ABMC,American Bio Medica Corporation,USA,OTCQB,USD,Common Stock,US0246001087
309,ABMD,Abiomed Inc,USA,NASDAQ,USD,Common Stock,US0036541003
